ORF	SD	ABS
YJL050W	0.871	0.813
YJL051W	0.587	0.493
YJL052W	0.612	0.53
YJL053W	0.477	0.39
YJL054W	0.34	0.284
YJL055W	0.502	0.427
YJL056C	0.581	0.411
YJL057C	0.962	0.885
YJL058C	0.287	0.227
YJL059W	0.445	0.317
YJL060W	0.672	0.483
YJL061W	0.436	0.354
YJL062W	0.538	0.36
YJL063C	0.662	0.38
YJL064W	0.395	0.265
YJL065C	0.368	0.277
YJL066C	1.179	0.95
YJL067W	0.727	0.525
YJL068C	0.777	0.711
YJL069C	1.11	1.027
YJL070C	0.62	0.481
YJL071W	0.325	0.255
YJL072C	0.278	0.217
YJL073W	0.493	0.353
YJL074C	0.494	0.425
YJL075C	0.529	0.545
YJL076W	0.63	0.598
YJL077C	0.469	0.359
YJL078C	0.571	0.502
YJL079C	0.974	0.725
YJL080C	0.94	0.765
YJL081C	0.491	0.342
YJL082W	0.73	0.543
YJL083W	0.564	0.405
YJL084C	0.468	0.357
YJL085W	0.651	0.388
YJL086C	0.493	0.381
YJL087C	0.751	0.591
YJL088W	1.289	1.065
YJL089W	1.367	1.013
YJL090C	0.442	0.351
YJL091C	0.567	0.43
YJL092W	0.483	0.371
YJL093C	0.466	0.348
YJL094C	0.631	0.505
YJL095W	0.491	0.392
YJL096W	0.468	0.38
YJL097W	0.739	0.481
YJL098W	1.036	0.785
YJL099W	0.432	0.338
YJL100W	0.634	0.55
YJL101C	0.825	0.63
YJL102W	0.822	0.698
YJL103C	1.199	0.925
YJL104W	0.425	0.345
YJL105W	0.495	0.38
YJL106W	0.614	0.437
YJL107C	0.957	0.7
YJL108C	0.781	0.575
YJL109C	1.209	1.107
YJL110C	0.598	0.442
YJL111W	0.832	0.588
YJL112W	0.473	0.414
YJL113W	0.654	0.476
YJL114W	0.655	0.476
YJL115W	0.529	0.43
YJL116C	1.392	1.004
YJL117W	0.499	0.4
YJL118W	0.462	0.365
YJL119C	0.404	0.366
YJL120W	0.467	0.337
YJL121C	0.526	0.51
YJL122W	1.163	1.07
YJL123C	0.474	0.314
YJL124C	0.598	0.407
YJL125C	0.769	0.695
YJL126W	0.311	0.233
YJL127C	0.349	0.286
YJL128C	0.369	0.267
YJL129C	0.524	0.373
YJL130C	0.751	0.59
YJL131C	0.617	0.517
YJL132W	0.761	0.689
YJL133W	0.463	0.399
YJL134W	0.409	0.362
YJL135W	0.426	0.362
YJL136C	0.94	0.796
YJL137C	0.611	0.436
YJL138C	1.034	0.826
YJL139C	0.303	0.224
YJL140W	0.374	0.32
YJL141C	0.918	0.721
YJL142C	1.008	0.793
YJL143W	0.477	0.372
YJL144W	1.398	1.043
YJL145W	0.748	0.529
YJL146W	0.396	0.331
YJL147C	0.395	0.295
YJL148W	1.162	1.046
YJL149W	0.503	0.427
YJL150W	1.623	1.224
YJL151C	0.744	0.641
YJL152W	0.74	0.63
YJL153C	1.372	0.963
YJL154C	0.449	0.366
YJL155C	1.108	0.961
YJL156C	0.517	0.314
YJL157C	1.11	0.886
YJL158C	1.081	0.682
YJL159W	0.793	0.634
YJL160C	0.762	0.533
YJL161W	1.417	1.356
YJL162C	0.492	0.355
YJL163C	1.531	1.149
YJL164C	1.263	1.262
YJL165C	0.487	0.38
YJL166W	1.063	0.893
YJL167W	0.797	0.488
YJL168C	0.757	0.518
YJL169W	0.474	0.394
YJL170C	0.787	0.57
YJL171C	0.7	0.536
YJL172W	0.751	0.655
YJL173C	0.439	0.322
YJL174W	0.448	0.337
YJL175W	0.554	0.521
YJL176C	0.419	0.308
YJL177W	1.244	1.01
YJL178C	0.416	0.325
YJL179W	0.564	0.411
YJL180C	0.46	0.388
YJL181W	0.547	0.369
YJL182C	0.418	0.344
YJL183W	0.738	0.608
YJL184W	0.374	0.288
YJL185C	0.922	0.649
YJL186W	0.41	0.321
YJL187C	0.434	0.364
YJL188C	1.034	0.769
YJL189W	0.985	0.761
YJL190C	1.428	1.133
YJL191W	0.827	0.712
YJL192C	0.7	0.465
YJL193W	0.429	0.377
YJL194W	1.367	0.999
YJL195C	0.522	0.506
YJL196C	0.717	0.537
YJL197W	0.453	0.365
YJL198W	0.872	0.809
YJL199C	0.537	0.439
YJL200C	1.181	0.888
YJL201W	0.404	0.335
YJL202C	0.348	0.275
YJL203W	0.39	0.321
YJL204C	0.412	0.292
YJL206C	0.572	0.44
YJL207C	0.594	0.452
YJL208C	0.824	0.69
YJL209W	0.432	0.297
YJL210W	0.503	0.368
YJL211C	0.571	0.429
YJL212C	0.906	0.697
YJL213W	0.758	0.567
YJL214W	0.462	0.373
YJL215C	0.423	0.355
YJL216C	0.549	0.367
YJL217W	0.953	0.73
YJL218W	0.542	0.421
YJL219W	0.59	0.454
YJL220W	0.53	0.411
YJL221C	0.708	0.523
YJL222W	0.519	0.358
YJL223C	0.493	0.36
YJL225C	0.533	0.409
YJR001W	0.579	0.417
YJR002W	0.974	0.857
YJR003C	0.783	0.714
YJR004C	0.482	0.362
YJR005W	0.407	0.32
YJR006W	0.48	0.326
YJR007W	1.045	0.754
YJR008W	1.391	1.139
YJR009C	0.67	0.526
YJR010C-A	0.331	0.274
YJR010W	1.117	0.578
YJR011C	0.63	0.426
YJR012C	0.391	0.296
YJR013W	0.294	0.226
YJR014W	0.521	0.397
YJR015W	0.458	0.34
YJR016C	0.95	0.839
YJR017C	0.481	0.366
YJR018W	0.482	0.404
YJR019C	0.788	0.612
YJR020W	0.755	0.527
YJR021C	0.517	0.403
YJR022W	0.431	0.327
YJR023C	0.357	0.27
YJR024C	0.52	0.404
YJR025C	0.693	0.745
YJR026W	0.906	0.592
YJR027W	0.8	0.505
YJR028W	0.903	0.582
YJR029W	0.73	0.462
YJR030C	0.419	0.347
YJR031C	0.589	0.491
YJR032W	0.533	0.415
YJR033C	0.572	0.456
YJR034W	0.535	0.443
YJR035W	0.619	0.497
YJR036C	0.817	0.635
YJR037W	0.717	0.511
YJR038C	0.811	0.614
YJR039W	0.679	0.531
YJR040W	0.464	0.362
YJR041C	1.098	0.983
YJR042W	0.46	0.393
YJR043C	0.593	0.455
YJR044C	0.469	0.442
YJR045C	0.639	0.531
YJR046W	0.671	0.497
YJR047C	0.626	0.514
YJR048W	1.052	0.774
YJR049C	0.437	0.334
YJR050W	0.461	0.351
YJR051W	0.413	0.36
YJR052W	0.462	0.371
YJR053W	0.482	0.399
YJR054W	0.572	0.431
YJR055W	0.514	0.383
YJR056C	0.42	0.306
YJR057W	0.385	0.315
YJR058C	0.351	0.29
YJR059W	0.713	0.662
YJR060W	0.441	0.348
YJR061W	0.486	0.435
YJR062C	0.477	0.395
YJR063W	1.032	0.885
YJR064W	0.819	0.604
YJR065C	0.477	0.412
YJR066W	0.858	0.58
YJR067C	0.462	0.364
YJR068W	0.398	0.315
YJR069C	0.689	0.492
YJR070C	1.447	1.231
YJR071W	1.128	0.965
YJR072C	0.67	0.523
YJR073C	1.217	1.07
YJR074W	0.591	0.46
YJR075W	0.429	0.329
YJR076C	0.594	0.377
YJR077C	0.839	0.631
YJR078W	0.88	0.686
YJR079W	0.524	0.505
YJR080C	0.57	0.455
YJR082C	0.445	0.335
YJR083C	0.456	0.336
YJR084W	0.392	0.294
YJR085C	0.598	0.596
YJR086W	0.395	0.374
YJR087W	0.48	0.349
YJR088C	0.379	0.301
YJR089W	0.362	0.285
YJR090C	0.386	0.294
YJR091C	0.661	0.553
YJR092W	0.793	0.594
YJR093C	0.338	0.279
YJR094C	0.839	0.555
YJR094W-A	0.954	0.813
YJR095W	1.698	1.108
YJR096W	1.44	1.392
YJR097W	0.815	0.723
YJR098C	0.388	0.29
YJR099W	0.508	0.401
YJR100C	0.395	0.4
YJR101W	0.377	0.314
YJR102C	0.393	0.314
YJR103W	0.635	0.502
YJR104C	0.767	0.848
YJR105W	0.737	0.549
YJR106W	0.555	0.479
YJR107W	0.528	0.452
YJR108W	0.536	0.405
YJR109C	1.094	0.87
YJR110W	0.48	0.358
YJR111C	0.631	0.44
YJR112W	0.596	0.437
YJR113C	0.514	0.386
YJR114W	0.475	0.374
YJR115W	0.511	0.356
YJR116W	0.442	0.388
YJR117W	0.562	0.416
YJR118C	0.454	0.338
YJR119C	0.601	0.464
YJR120W	0.569	0.407
YJR121W	0.798	0.575
YJR122W	0.635	0.519
YJR123W	1.385	1.116
YJR124C	0.771	0.717
YJR125C	0.595	0.463
YJR126C	0.507	0.424
YJR127C	0.629	0.488
YJR128W	0.606	0.51
YJR129C	0.531	0.514
YJR130C	0.641	0.561
YJR131W	0.458	0.37
YJR132W	0.671	0.564
YJR133W	0.364	0.283
YJR134C	0.431	0.313
YJR135C	0.471	0.394
YJR136C	0.358	0.27
YJR137C	0.719	0.458
YJR138W	0.411	0.319
YJR139C	0.68	0.473
YJR140C	0.468	0.362
YJR141W	0.447	0.401
YJR142W	0.516	0.335
YJR143C	1.043	0.81
YJR144W	0.516	0.394
YJR145C	1.287	1.024
YJR146W	0.509	0.442
YJR147W	0.716	0.766
YJR148W	0.821	0.681
YJR149W	0.787	0.626
YJR150C	0.958	0.692
YJR151C	0.309	0.241
YJR152W	1.433	0.808
YJR153W	0.604	0.424
YJR154W	0.539	0.415
YJR155W	1.168	0.826
YJR156C	0.857	0.669
YJR157W	0.672	0.505
YJR158W	0.737	0.574
YJR159W	0.63	0.504
YJR160C	0.497	0.365
YJR161C	0.533	0.523
YJR162C	0.562	0.368
YKL001C	0.725	0.524
YKL002W	0.505	0.456
YKL003C	0.44	0.366
YKL004W	0.754	0.632
YKL005C	0.625	0.404
YKL006C-A	0.613	0.443
YKL006W	1.269	1.031
YKL007W	0.487	0.476
YKL008C	0.563	0.488
YKL009W	1.454	1.244
YKL010C	0.491	0.373
YKL011C	0.391	0.288
YKL012W	0.382	0.296
YKL013C	0.538	0.478
YKL014C	0.784	0.655
YKL015W	0.388	0.309
YKL016C	0.647	0.523
YKL017C	0.355	0.237
YKL018W	0.5	0.357
YKL019W	0.392	0.289
YKL020C	0.443	0.346
YKL021C	0.843	0.754
YKL022C	0.342	0.264
YKL023W	0.487	0.402
YKL024C	0.696	0.511
YKL025C	0.43	0.327
YKL026C	1.521	1.178
YKL027W	0.429	0.324
YKL028W	0.362	0.283
YKL029C	1.026	0.824
YKL030W	0.812	0.769
YKL031W	0.523	0.467
YKL032C	0.362	0.277
YKL033W	0.506	0.379
YKL034W	0.652	0.535
YKL035W	1.198	1.057
YKL036C	0.998	0.768
YKL037W	0.581	0.43
YKL038W	0.591	0.419
YKL039W	0.44	0.379
YKL040C	0.454	0.326
YKL041W	0.388	0.316
YKL042W	0.497	0.39
YKL043W	0.897	0.708
YKL044W	0.702	0.541
YKL045W	0.482	0.385
YKL046C	0.374	0.297
YKL047W	0.577	0.352
YKL048C	0.532	0.4
YKL049C	0.483	0.365
YKL050C	1.146	0.726
YKL051W	0.631	0.523
YKL052C	0.464	0.339
YKL053W	0.38	0.291
YKL054C	0.608	0.447
YKL055C	0.492	0.414
YKL056C	1.088	0.884
YKL057C	0.66	0.477
YKL058W	0.412	0.321
YKL059C	0.352	0.278
YKL060C	0.697	0.505
YKL061W	0.584	0.436
YKL062W	1.084	0.845
YKL063C	0.344	0.264
YKL064W	0.604	0.516
YKL065C	0.811	0.902
YKL066W	0.546	0.439
YKL067W	0.758	0.789
YKL068W	0.568	0.537
YKL069W	0.541	0.433
YKL070W	0.48	0.365
YKL071W	1.167	0.776
YKL072W	0.552	0.483
YKL073W	0.768	0.541
YKL074C	0.512	0.387
YKL075C	0.334	0.243
YKL076C	0.394	0.321
YKL077W	0.388	0.275
YKL078W	1.506	1.389
YKL079W	0.388	0.291
YKL080W	0.872	0.551
YKL081W	1.341	1.144
YKL082C	1.014	0.959
YKL083W	0.642	0.501
YKL084W	0.427	0.335
YKL085W	1.122	0.928
YKL086W	0.401	0.286
YKL087C	0.55	0.521
YKL088W	0.427	0.317
YKL089W	0.378	0.308
YKL090W	0.385	0.274
YKL091C	1.287	1.256
YKL092C	0.342	0.26
YKL093W	1.271	0.921
YKL094W	0.489	0.463
YKL095W	0.509	0.383
YKL096W	1.625	1.227
YKL097C	0.561	0.449
YKL098W	0.502	0.311
YKL099C	1.184	0.999
YKL100C	0.572	0.634
YKL101W	0.58	0.475
YKL102C	0.524	0.401
YKL103C	1.575	1.617
YKL104C	0.854	0.592
YKL105C	0.489	0.389
YKL106W	0.687	0.506
YKL107W	1.375	0.872
YKL108W	0.468	0.368
YKL109W	1.435	1.014
YKL110C	0.616	0.515
YKL111C	0.376	0.309
YKL112W	0.397	0.305
YKL113C	0.632	0.537
YKL114C	0.373	0.288
YKL115C	0.333	0.328
YKL116C	0.449	0.353
YKL117W	0.531	0.44
YKL118W	0.36	0.304
YKL119C	0.584	0.387
YKL120W	0.769	0.551
YKL121W	0.639	0.589
YKL122C	0.715	0.493
YKL123W	0.63	0.483
YKL124W	0.752	0.624
YKL125W	0.631	0.516
YKL126W	0.536	0.442
YKL127W	0.801	0.548
YKL128C	0.665	0.42
YKL129C	0.605	0.464
YKL130C	0.495	0.3
YKL131W	0.538	0.469
YKL132C	0.629	0.416
YKL133C	0.829	0.719
YKL134C	0.619	0.419
YKL135C	0.409	0.29
YKL136W	0.572	0.348
YKL137W	0.419	0.321
YKL138C	0.576	0.468
YKL139W	0.312	0.236
YKL140W	0.651	0.43
YKL141W	0.943	0.711
YKL142W	1.033	1.14
YKL143W	1.452	1.199
YKL144C	0.69	0.549
YKL145W	0.57	0.431
YKL146W	0.69	0.495
YKL147C	0.61	0.445
YKL148C	1.367	1.04
YKL149C	0.358	0.258
YKL150W	1.185	1.147
YKL151C	1.364	1.056
YKL152C	0.817	0.567
YKL153W	0.851	0.568
YKL154W	0.661	0.473
YKL155C	0.374	0.294
YKL156W	0.881	0.677
YKL157W	0.508	0.47
YKL158W	0.752	0.513
YKL159C	0.403	0.32
YKL160W	0.38	0.344
YKL161C	0.639	0.516
YKL162C	0.804	0.597
YKL163W	0.961	0.739
YKL164C	0.694	0.532
YKL165C	0.716	0.595
YKL166C	0.466	0.353
YKL167C	0.443	0.385
YKL168C	0.573	0.465
YKL169C	0.397	0.343
YKL170W	0.403	0.409
YKL171W	0.767	0.55
YKL172W	1.28	1.096
YKL173W	0.452	0.393
YKL174C	0.388	0.301
YKL175W	0.462	0.376
YKL176C	0.52	0.395
YKL177W	0.679	0.581
YKL178C	0.905	0.618
YKL179C	0.448	0.311
YKL180W	1.194	0.938
YKL181W	0.967	0.882
YKL182W	0.75	0.587
YKL183W	0.66	0.498
YKL184W	0.566	0.452
YKL185W	0.645	0.544
YKL186C	0.407	0.314
YKL187C	1.597	1.061
YKL188C	1.023	0.786
YKL189W	0.478	0.404
YKL190W	0.473	0.414
YKL191W	0.891	0.769
YKL192C	0.569	0.514
YKL193C	0.768	0.742
YKL194C	0.566	0.434
YKL195W	0.614	0.459
YKL196C	0.463	0.404
YKL197C	0.398	0.315
YKL198C	0.492	0.359
YKL199C	0.652	0.448
YKL201C	0.787	0.613
YKL202W	0.83	0.652
YKL203C	0.463	0.343
YKL204W	0.396	0.309
YKL205W	0.725	0.617
YKL206C	0.493	0.348
YKL207W	0.446	0.326
YKL208W	0.514	0.404
YKL209C	0.937	0.609
YKL210W	0.689	0.527
YKL211C	0.649	0.471
YKL212W	0.815	0.508
YKL213C	0.641	0.51
YKL214C	0.422	0.335
YKL215C	0.517	0.374
YKL216W	1.591	1.305
YKL217W	2.144	1.22
YKL218C	0.968	0.742
YKL219W	0.403	0.312
YKL220C	0.506	0.36
YKL221W	0.997	0.675
YKL222C	0.383	0.292
YKL223W	0.517	0.399
YKL224C	0.574	0.421
YKL225W	0.612	0.472
YKR001C	0.766	0.428
YKR002W	0.371	0.278
YKR003W	0.721	0.489
YKR004C	0.328	0.261
YKR005C	0.681	0.426
YKR006C	0.631	0.343
YKR007W	0.409	0.311
YKR008W	0.351	0.279
YKR009C	1.117	0.783
YKR010C	0.407	0.343
YKR011C	1.054	1.001
YKR012C	0.658	0.505
YKR013W	0.979	0.715
YKR014C	0.411	0.338
YKR015C	0.529	0.391
YKR016W	0.708	0.544
YKR017C	0.757	0.436
YKR018C	0.611	0.441
YKR019C	0.507	0.357
YKR020W	0.496	0.347
YKR021W	0.441	0.319
YKR022C	0.449	0.335
YKR023W	0.434	0.336
YKR024C	1.123	0.991
YKR025W	0.686	0.599
YKR026C	0.705	0.602
YKR027W	0.56	0.34
YKR028W	0.556	0.419
YKR029C	0.57	0.353
YKR030W	0.401	0.279
YKR031C	0.456	0.363
YKR032W	0.627	0.588
YKR033C	1.539	0.881
YKR034W	1.65	0.993
YKR035C	0.43	0.373
YKR036C	0.381	0.345
YKR037C	0.38	0.29
YKR038C	0.426	0.37
YKR039W	1.72	1.173
YKR040C	0.367	0.35
YKR041W	0.689	0.46
YKR042W	0.908	0.672
YKR043C	0.739	0.685
YKR044W	0.543	0.459
YKR045C	0.408	0.329
YKR046C	0.998	0.761
YKR047W	0.499	0.399
YKR048C	0.484	0.403
YKR049C	0.85	0.678
YKR050W	0.391	0.301
YKR051W	0.455	0.422
YKR052C	0.67	0.545
YKR053C	0.642	0.548
YKR054C	0.34	0.296
YKR055W	0.472	0.369
YKR056W	1.233	1.073
YKR057W	1.135	0.928
YKR058W	1.007	0.798
YKR059W	1.037	0.823
YKR060W	0.965	0.805
YKR061W	0.616	0.471
YKR062W	0.322	0.237
YKR063C	0.419	0.313
YKR064W	0.342	0.257
YKR065C	0.433	0.348
YKR066C	1.073	0.879
YKR067W	0.95	0.888
YKR068C	0.344	0.305
YKR069W	0.736	0.492
YKR070W	0.523	0.375
YKR071C	0.568	0.474
YKR072C	0.396	0.321
YKR073C	0.477	0.363
YKR074W	0.386	0.309
YKR075C	0.842	0.542
YKR076W	1.886	1.838
YKR077W	0.531	0.403
YKR078W	0.358	0.265
YKR079C	0.784	0.623
YKR080W	0.853	0.631
YKR081C	1.22	1.067
YKR082W	0.652	0.519
YKR083C	0.41	0.332
YKR084C	0.475	0.335
YKR085C	0.547	0.44
YKR086W	0.374	0.317
YKR087C	0.314	0.254
YKR088C	0.422	0.314
YKR089C	0.553	0.475
YKR090W	0.41	0.322
YKR091W	1.032	0.868
YKR092C	0.993	1.008
YKR093W	0.641	0.46
YKR094C	0.982	0.773
YKR095W	0.55	0.454
YKR096W	0.575	0.442
YKR097W	2.346	1.296
YKR098C	0.698	0.567
YKR099W	0.843	0.686
YKR100C	0.414	0.271
YKR101W	0.553	0.46
YKR102W	0.746	0.553
YKR103W	0.54	0.38
YKR104W	0.532	0.434
YKR105C	0.609	0.421
YKR106W	0.806	0.576
YLL001W	0.665	0.575
YLL002W	0.443	0.392
YLL003W	0.443	0.315
YLL004W	0.632	0.479
YLL005C	0.454	0.339
YLL006W	0.53	0.401
YLL007C	0.43	0.333
YLL008W	1.445	1.341
YLL009C	0.679	0.6
YLL010C	0.355	0.273
YLL011W	1.118	0.964
YLL012W	0.69	0.541
YLL013C	0.508	0.386
YLL014W	0.481	0.395
YLL015W	0.392	0.329
YLL016W	0.614	0.419
YLL017W	0.77	0.503
YLL018C	0.563	0.392
YLL019C	0.688	0.609
YLL020C	1.103	0.841
YLL021W	0.771	0.601
YLL022C	0.578	0.493
YLL023C	0.803	0.795
YLL024C	1.064	0.832
YLL025W	0.597	0.441
YLL026W	2.008	1.774
YLL027W	0.664	0.5
YLL028W	0.662	0.537
YLL029W	0.633	0.527
YLL030C	0.524	0.603
YLL031C	0.474	0.331
YLL032C	0.458	0.355
YLL033W	0.377	0.291
YLL034C	0.834	0.813
YLL035W	0.942	0.81
YLL036C	0.572	0.439
YLL037W	0.481	0.415
YLL038C	0.616	0.514
YLL039C	1.175	1.021
YLL040C	0.369	0.285
YLL041C	1.608	1.24
YLL042C	0.441	0.345
YLL043W	0.316	0.237
YLL044W	1.307	1.073
YLL045C	1.313	1.037
YLL046C	0.494	0.458
YLL047W	0.487	0.41
YLL048C	0.602	0.502
YLL049W	0.358	0.276
YLL050C	0.535	0.412
YLL051C	0.494	0.415
YLL052C	0.493	0.426
YLL053C	0.53	0.413
YLL054C	0.55	0.422
YLL055W	0.923	0.7
YLL056C	0.769	0.567
YLL057C	0.49	0.33
YLL058W	0.547	0.426
YLL059C	0.503	0.383
YLL060C	1.202	0.854
YLL061W	0.788	0.584
YLL062C	0.785	0.561
YLL063C	0.516	0.358
YLL064C	0.515	0.371
YLL065W	0.499	0.392
YLL066C	0.477	0.361
YLL067C	0.519	0.402
YLR001C	0.652	0.597
YLR002C	1.153	0.981
YLR003C	1.1	0.963
YLR004C	0.731	0.48
YLR005W	0.416	0.318
YLR006C	0.459	0.351
YLR007W	0.441	0.333
YLR008C	0.677	0.524
YLR009W	1.354	1.167
YLR010C	0.553	0.404
YLR011W	0.496	0.363
YLR012C	0.711	0.593
YLR013W	0.77	0.667
YLR014C	0.635	0.494
YLR015W	0.426	0.358
YLR016C	0.361	0.274
YLR017W	0.834	0.731
YLR018C	0.443	0.367
YLR019W	0.327	0.271
YLR020C	0.492	0.379
YLR021W	0.449	0.358
YLR022C	0.462	0.332
YLR023C	0.459	0.385
YLR024C	0.468	0.334
YLR025W	0.472	0.391
YLR026C	0.421	0.307
YLR027C	0.505	0.367
YLR028C	0.504	0.453
YLR029C	1.141	0.914
YLR030W	0.706	0.458
YLR031W	0.753	0.487
YLR032W	0.422	0.345
YLR033W	0.387	0.297
YLR034C	0.382	0.311
YLR035C	0.416	0.332
YLR036C	0.329	0.238
YLR037C	0.512	0.39
YLR038C	0.873	0.622
YLR039C	0.501	0.32
YLR040C	0.396	0.314
YLR041W	0.413	0.35
YLR042C	0.976	0.788
YLR043C	0.633	0.469
YLR044C	0.925	0.635
YLR045C	0.601	0.499
YLR046C	0.45	0.359
YLR047C	0.498	0.396
YLR048W	1.255	1.066
YLR049C	0.512	0.433
YLR050C	0.438	0.336
YLR051C	0.75	0.675
YLR052W	0.409	0.295
YLR053C	1.095	0.669
YLR054C	0.744	0.573
YLR055C	0.34	0.285
YLR056W	0.974	0.802
YLR057W	0.619	0.509
YLR058C	1.22	0.961
YLR059C	0.547	0.522
YLR060W	1.005	0.703
YLR061W	1.312	0.976
YLR062C	1.507	1.149
YLR063W	0.893	0.814
YLR064W	0.538	0.384
YLR065C	0.572	0.434
YLR066W	0.554	0.357
YLR067C	0.434	0.328
YLR068W	0.763	0.64
YLR069C	0.561	0.454
YLR070C	0.865	0.603
YLR071C	0.349	0.286
YLR072W	0.549	0.397
YLR073C	0.762	0.714
YLR074C	0.999	0.764
YLR075W	1.04	0.799
YLR076C	1.002	0.797
YLR077W	0.37	0.274
YLR078C	0.321	0.28
YLR079W	0.502	0.377
YLR080W	1.197	1.139
YLR081W	1.552	0.823
YLR082C	0.443	0.322
YLR083C	1.162	1.004
YLR084C	0.793	0.625
YLR085C	0.326	0.264
YLR086W	0.579	0.367
YLR087C	0.591	0.387
YLR088W	0.529	0.362
YLR089C	0.701	0.537
YLR090W	0.388	0.324
YLR091W	0.403	0.344
YLR092W	1.066	0.668
YLR093C	0.528	0.526
YLR094C	0.518	0.403
YLR095C	0.388	0.308
YLR096W	0.548	0.395
YLR097C	0.545	0.438
YLR098C	0.372	0.274
YLR099C	0.491	0.395
YLR100W	0.653	0.434
YLR101C	0.574	0.377
YLR102C	0.522	0.422
YLR103C	0.52	0.464
YLR104W	0.442	0.334
YLR105C	0.359	0.304
YLR106C	0.588	0.465
YLR107W	0.516	0.402
YLR108C	1.241	0.999
YLR109W	1.263	1.047
YLR110C	0.6	0.494
YLR111W	0.586	0.446
YLR112W	0.678	0.512
YLR113W	0.486	0.341
YLR114C	0.472	0.328
YLR115W	0.525	0.338
YLR116W	0.401	0.311
YLR117C	0.37	0.286
YLR118C	0.469	0.432
YLR119W	0.467	0.357
YLR120C	0.651	0.59
YLR121C	0.583	0.384
YLR122C	0.767	0.493
YLR123C	0.573	0.449
YLR124W	0.584	0.448
YLR125W	0.553	0.408
YLR126C	0.554	0.426
YLR127C	0.291	0.227
YLR128W	0.622	0.458
YLR129W	1.322	1.115
YLR130C	0.624	0.517
YLR131C	0.449	0.381
YLR132C	0.701	0.521
YLR133W	0.666	0.519
YLR134W	0.948	0.613
YLR135W	0.552	0.412
YLR136C	0.976	0.773
YLR137W	0.81	0.546
YLR138W	0.594	0.467
YLR139C	0.649	0.476
YLR140W	0.484	0.328
YLR141W	0.577	0.484
YLR142W	2.109	1.615
YLR143W	0.597	0.458
YLR144C	0.514	0.406
YLR145W	0.445	0.369
YLR146C	0.794	0.672
YLR147C	0.481	0.372
YLR148W	0.481	0.369
YLR149C	1.834	1.646
YLR150W	0.964	0.781
YLR151C	0.682	0.524
YLR152C	1.035	0.93
YLR153C	0.918	0.539
YLR154C	0.474	0.39
YLR155C	0.814	0.591
YLR156W	0.925	0.642
YLR157C	0.804	0.599
YLR158C	0.851	0.656
YLR159W	0.931	0.631
YLR160C	0.835	0.66
YLR161W	0.87	0.577
YLR162W	0.631	0.545
YLR163C	0.429	0.337
YLR164W	1.321	0.869
YLR165C	0.568	0.434
YLR166C	0.399	0.332
YLR167W	0.917	0.715
YLR168C	0.774	0.61
YLR169W	0.363	0.274
YLR170C	0.431	0.392
YLR171W	0.422	0.345
YLR172C	0.7	0.61
YLR173W	0.58	0.426
YLR174W	1.639	1.062
YLR175W	1.57	1.337
YLR176C	0.505	0.406
YLR177W	0.818	0.582
YLR178C	2.106	1.969
YLR179C	0.705	0.537
YLR180W	1.246	0.966
YLR181C	0.496	0.397
YLR182W	0.539	0.366
YLR183C	0.91	0.788
YLR184W	0.583	0.448
YLR185W	1.159	0.911
YLR186W	1.146	0.937
YLR187W	0.446	0.357
YLR188W	0.423	0.339
YLR189C	0.611	0.493
YLR190W	0.556	0.436
YLR191W	0.365	0.284
YLR192C	0.727	0.495
YLR193C	0.559	0.463
YLR194C	0.915	0.619
YLR195C	0.696	0.481
YLR196W	1.597	1.393
YLR197W	1.675	1.361
YLR198C	1.583	1.301
YLR199C	0.341	0.276
YLR200W	0.524	0.373
YLR201C	0.504	0.438
YLR202C	0.531	0.385
YLR203C	0.542	0.443
YLR204W	0.431	0.406
YLR205C	0.811	0.644
YLR206W	0.401	0.321
YLR207W	0.44	0.304
YLR208W	0.668	0.486
YLR209C	0.483	0.341
YLR210W	0.497	0.386
YLR211C	0.47	0.383
YLR212C	0.631	0.456
YLR213C	0.512	0.395
YLR214W	1.174	0.883
YLR215C	0.499	0.397
YLR216C	1.235	0.964
YLR217W	1.274	0.917
YLR218C	0.562	0.495
YLR219W	0.553	0.431
YLR220W	0.623	0.475
YLR221C	0.918	0.835
YLR222C	1.38	1.137
YLR223C	0.641	0.561
YLR224W	0.488	0.368
YLR225C	0.624	0.504
YLR226W	0.474	0.343
YLR227C	0.422	0.313
YLR228C	0.521	0.419
YLR229C	0.534	0.44
YLR230W	0.48	0.398
YLR231C	0.669	0.527
YLR232W	0.603	0.459
YLR233C	0.384	0.284
YLR234W	0.576	0.43
YLR235C	0.492	0.497
YLR236C	0.457	0.362
YLR237W	0.542	0.455
YLR238W	0.448	0.344
YLR239C	0.431	0.303
YLR240W	0.489	0.393
YLR241W	0.531	0.458
YLR242C	0.337	0.262
YLR243W	0.68	0.608
YLR244C	0.678	0.545
YLR245C	0.35	0.297
YLR246W	0.821	0.622
YLR247C	0.488	0.395
YLR248W	0.456	0.438
YLR249W	1.623	1.424
YLR250W	0.445	0.519
YLR251W	1.292	1.098
YLR252W	1.198	1.11
YLR253W	0.383	0.275
YLR254C	0.716	0.474
YLR255C	0.657	0.517
YLR256W	0.399	0.316
YLR257W	0.791	0.677
YLR258W	1.713	1.691
YLR259C	0.978	0.745
YLR260W	0.586	0.458
YLR261C	0.647	0.405
YLR262C	0.409	0.335
YLR263W	0.567	0.374
